id;station_a;station_b;distance
;Starachowice;Starachowice Wschodnie;1.926
;Starachowice Wschodnie;Starachowice Michałów;4.152
;Starachowice Michałów;Styków Iłżecki;3.02
;Styków Iłżecki;Brody Iłżeckie;3.75
;Brody Iłżeckie;Staw Kunowski;3.845
;Staw Kunowski;Kunów;5.525
;Kunów;Boksycka;2.876
;Boksycka;Ostrowiec Świętokrzyski;4.256
;Ostrowiec Świętokrzyski;Ćmielów;11.969
;Ćmielów;Jakubowice;13.63
;Jakubowice;Dwikozy;15.446
;Dwikozy;Sandomierz;10.79
;Sandomierz;Wielowieś;3.719
;Wielowieś;Grębów;7.194
;Zbydniów;Tubia;4.15
;Tubia;Stalowa Wola Rozwadów;5.778
;Stalowa Wola Rozwadów;Stalowa Wola Centrum;2.58
;Stalowa Wola Centrum;Stalowa Wola;0.9
;Stalowa Wola;Stalowa Wola Południe;2.388
;Stalowa Wola Południe;Moskale;3.162
;Moskale;Nisko Osiedle;1
;Nisko Osiedle;Nisko;1.621
;Nisko;Nisko Racławice;1.579
;Nisko Racławice;Nisko Podwolina;1.415
;Nisko Podwolina;Rudnik Stróża;5.202
;Rudnik Stróża;Rudnik nad Sanem;3.575
;Rudnik nad Sanem;Łętownia;8.275
;Łętownia;Nowa Sarzyna Kolonia;6.923
;Nowa Sarzyna Kolonia;Nowa Sarzyna;1.381
;Nowa Sarzyna;Jelna;2.209
;Jelna;Leżajsk;6.431
;Leżajsk;Wierzawice;4.272
;Wierzawice;Grodzisko Dolne;8.509
;Grodzisko Dolne;Tryńcza;4.169
;Tryńcza;Gniewczyna;4.629
;Gniewczyna;Przeworsk;4.495
;Kraków Batowice;Kraków Lubocza;6.378
;Kraków Lubocza;Kraków Nowa Huta;3.982
;Kraków Nowa Huta;Podłęże;12.133
;Kraków Główny;Kraków Zabłocie;2.416
;Kraków Zabłocie;Kraków Płaszów;1.98
;Kraków Płaszów;Kraków Prokocim;1.967
;Kraków Prokocim;Kraków Bieżanów;2.342
;Kraków Bieżanów;Kraków Złocień;1.529
;Kraków Złocień;Kokotów;1.306
;Kokotów;Węgrzce Wielkie;2.675
;Węgrzce Wielkie;Podłęże;4.434
;Podłęże;Staniątki;2.876
;Staniątki;Szarów;3.571
;Szarów;Kłaj;3.28
;Kłaj;Stanisławice;4.034
;Stanisławice;Cikowice;2.037
