id;station_a;station_b;distance
;Gdańsk Osowa;Gdynia Karwiny;6.983
;Gdańsk Politechnika;Gdańsk Wrzeszcz;1.675
;Gdańsk Port Lotniczy;Gdańsk Rębiechowo;0.684
;Gdańsk Port Lotniczy;Gdańsk Firoga;1.471
;Gdańsk Przymorze-Uniwersytet;Gdańsk Oliwa;1.058
;Gdańsk Rębiechowo;Gdańsk Osowa;5.067
;Gdańsk Stocznia;Gdańsk Politechnika;1.431
;Gdańsk Strzyża;Gdańsk Wrzeszcz;2.193
;Gdańsk Śródmieście;Gdańsk Główny;1.093
;Gdańsk Wrzeszcz;Gdańsk Zaspa;1.257
;Gdańsk Zaspa;Gdańsk Przymorze-Uniwersytet;1.536
;Gdańsk Żabianka-AWFiS;Sopot Wyścigi;1.253
;Gdynia Chylonia;Gdynia Cisowa;1.074
;Gdynia Cisowa;Rumia Janowo;3.016
;Gdynia Główna;Gdynia Stocznia-Uniwersytet Morski;0.842
;Gdynia Grabówek;Gdynia Leszczynki;1.369
;Gdynia Karwiny;Gdynia Stadion;6.162
;Gdynia Leszczynki;Gdynia Chylonia;1.16
;Gdynia Orłowo SKM;Gdynia Redłowo;1.847
;Gdynia Redłowo;Gdynia Wzgórze Św.Maksymiliana;1.813
;Gdynia Stadion;Gdynia Główna;2.957
;Gdynia Stocznia-Uniwersytet Morski;Gdynia Grabówek;1.809
;Gdynia Wzgórze Św.Maksymiliana;Gdynia Główna;1.622
;Geniusze;Sokółka;5.427
;Gębarzewo;Gniezno;6.443
;Gierałtów Wykroty;Węgliniec;9.669
;Gierałtów;Gierałtów Wykroty;3.052
;Gierwaty;Ostrołęka;7.662
;Gilów;Bliżyn;2.231
;Giżycko;Siedliska;9.759
;Gliniczek;Tarnowiec;2.843
;Gliniszcze;Racewo;3.744
;Glinnik Wieś;Glinnik;1.448
;Glinnik;Swędów;3.757
;Gliwice Kuźnica;Pyskowice;3.332
;Gliwice Łabędy;Gliwice Kuźnica;1.977
;Gliwice Łabędy;Rzeczyce Śląskie;4.415
;Gliwice;Zabrze;8.174
;Gliwice;Zabrze Makoszowy;8.442
;Gliwice;Bytom Bobrek;15.546
;Gliwice;Przyszowice;11.997
;Gliwice;Gliwice Łabędy;5.885
;Głębokie Międzyrzeckie;Popowo Skwierzyńskie;5.877
;Głogów Huta;Głogów Wróblin;2.815
;Głogów Małopolski Niwa;Rogoźnica koło Rzeszowa;2.185
;Głogów Małopolski Południowy;Jasionka Lotnisko;2.562
;Głogów Małopolski;Głogów Małopolski Niwa;1.248
;Głogów Wróblin;Brzeg Głogowski;2.565
;Głogów;Głogówko;8.958
;Głogów;Głogów Huta;6.33
;Głogówek;Racławice Śląskie;9.142
;Głogówko;Stare Drzewce;8.226
;Głowaczewo;Karcino;3.677
;Głowno;Kamień Łowicki;4.9
;Głuchołazy (Gr);Mikulovice;2.553
;Głuchołazy;Głuchołazy (Gr);5.650
;Głuchołazy;Pokrzywna (Gr);11.220
;Głuchołazy;Głuchołazy Miasto;1.609
;Głuchowo;Chełmża;4.223
;Głuchów;Kosina;3.078
;Głuszyca Górna;Głuszyca;2.241
;Głuszyca;Jedlina-Zdrój;2.773
;Głuszyno Pomorskie;Strzyżyno Słupskie;2.99
;Gniewczyna;Przeworsk;4.495
;Gniewkowo;Suchatówka;5.827
